,Fraction of Data,Time (Seconds),Balanced Accuracy,Recall,F1
0,0.0,0.0,0.0,0.0,0.0
1,0.05,14.03125,0.9998201438848922,1.0,0.9998234156683885
2,0.1,32.625,0.9999119097956307,0.9998238195912614,0.9999117462610997
3,0.15000000000000002,50.328125,0.9998235568719045,0.9997649271274095,0.9998234876589096
4,0.2,82.640625,0.9997793973085553,0.9997354730623402,0.9997793564319896
5,0.25,110.34375,0.9998943580529573,0.9998598752890072,0.999894083904012
6,0.30000000000000004,85.484375,0.9997643631939681,0.9997044218491369,0.9997646383018117
7,0.35000000000000003,78.234375,0.9997224258376538,0.9996460892866171,0.9997226126852343
8,0.4,46.671875,0.9996473080583952,0.9994714820524113,0.9996469616489394
9,0.45,61.8125,0.9998038800332854,0.9997254578970075,0.9998038677271888
10,0.5,78.703125,0.9998233963683558,0.9997173444511183,0.9998234804662851
11,0.55,83.5625,0.9997592073390026,0.9997419854221764,0.9997592855873738
12,0.6000000000000001,89.484375,0.9997940826014227,0.9996764420390034,0.9997940601039152
13,0.65,98.65625,0.999742124471735,0.9996746733177899,0.9997420083739872
14,0.7000000000000001,108.421875,0.9998104212354599,0.9996459908463348,0.9998108695370254
15,0.75,127.90625,0.9997879348099739,0.9996932515337423,0.999788174012928
16,0.8,140.34375,0.9997243015155746,0.9995590051155406,0.9997241865490132
17,0.8500000000000001,137.34375,0.9997088270575885,0.99958322045554,0.9997092563573271
18,0.9,151.15625,0.9997941994441161,0.9996865940609575,0.9997940588004453
19,0.9500000000000001,171.390625,0.9997862646526192,0.999683956125674,0.9997863187456025
20,1.0,179.046875,0.9997708773199113,0.9996302361206487,0.9997705235082441
