,Fraction of Data,Time (Seconds),Balanced Accuracy,Recall,F1
0,0.0,0.0,0.0,0.0,0.0
1,0.1,8.09375,0.999198432490203,0.9983968649804061,0.9992056412147166
2,0.2,17.515625,0.9989557044643634,0.9979114089287269,0.9989407297445435
3,0.30000000000000004,56.359375,0.9991158267020336,0.9982316534040672,0.9991174071071693
4,0.4,100.8125,0.9991621466684306,0.9983242933368611,0.9991615365843094
5,0.5,153.8125,0.9991684947986696,0.9983369895973392,0.9991703510372387
6,0.6000000000000001,296.328125,0.9991446689278867,0.9982893378557735,0.9991468107536531
7,0.7000000000000001,359.953125,0.9991669191154195,0.9983338382308391,0.9991678298644731
8,0.8,392.15625,0.9992171477716276,0.9984342955432554,0.9992166899879749
9,0.9,561.4375,0.9992880688135131,0.9985761376270261,0.999284093386348
10,1.0,612.46875,0.9991846875578347,0.9983869538243375,0.999187990824692
