,Fraction of Data,Time (Seconds),Balanced Accuracy,Recall,F1
0,0.0,0.0,0.0,0.0,0.0
1,0.1, 1.6865241527557373, 0.9985953206619551, 0.9971906413239102, 0.9985933447624071
2,0.2, 12.504876375198364, 0.9985583483734648, 0.9971166967469296, 0.9985562670134565
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
