,Fraction of Data,Time (Seconds),Balanced Accuracy,Recall,F1
0,0.0,0.0,0.0,0.0,0.0
1,0.1,16.265625,0.9997345626338714,0.9996443179797261,0.9997352243557451
2,0.2,28.4375,0.9996888610405965,0.999551408577068,0.999691015980156
3,0.30000000000000004,31.640625,0.9997351306238853,0.9997653683716565,0.9997352214549531
4,0.4,41.453125,0.9997806982648736,0.9996505787289801,0.9997793287046073
5,0.5,65.0625,0.9997706788135206,0.9996120339999295,0.9997705246408493
6,0.6000000000000001,67.078125,0.9998671892688462,0.999792887153086,0.9998676057101595
7,0.7000000000000001,99.0625,0.9998235385020101,0.9996975349095125,0.999823479698623
8,0.8,113.96875,0.9997792114179239,0.9996686108165429,0.9997793488947699
9,0.9,155.546875,0.9997254167429743,0.9995685174652362,0.9997254121225144
10,1.0,181.671875,0.9997351282816275,0.9995761065385567,0.9997352207684824
